INSTNM,STABBR,CONTROL,COMPL_RPY_1YR_RT,PCTPELL,COSTT4_A,MD_EARN_WNE_P10,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,UGDS,PREDDEG,repayment_risk
Alabama A & M University,AL,1,0.3366762178,0.6298,27153.0,40628.0,31000.0,0.429326288,6124.0,3,1
University of Alabama at Birmingham,AL,1,0.5745573159,0.3402,28145.0,54501.0,22300.0,0.6182700794,11635.0,3,0
Amridge University,AL,2,0.3333333333,0.7655,,37621.0,32189.0,0.4390243902,241.0,3,1
University of Alabama in Huntsville,AL,1,0.6408888889,0.2464,27392.0,61767.0,20705.0,0.680887372,6591.0,3,0
Alabama State University,AL,1,0.2446808511,0.7134,23586.0,34502.0,31000.0,0.3660377358,3477.0,3,1
The University of Alabama,AL,1,0.6572383646,0.184,33382.0,59221.0,22750.0,0.7118012422,33227.0,3,0
Central Alabama Community College,AL,1,0.2702702703,0.3183,21413.0,33506.0,9766.0,0.325,1203.0,1,1
Athens State University,AL,1,0.5269058296,0.4251,,50273.0,18051.0,0.6019845645,2446.0,3,0
Auburn University at Montgomery,AL,1,0.5849335303,0.4235,21353.0,44391.0,25000.0,0.634180791,2542.0,3,0
Auburn University,AL,1,0.7699652778,0.1253,34919.0,65337.0,21000.0,0.8109577583,26816.0,3,0
Chattahoochee Valley Community College,AL,1,0.3896103896,0.4025,12600.0,36438.0,10500.0,0.3780487805,1110.0,1,1
South University-Montgomery,AL,3,0.3869922751,0.6556,34793.0,34421.0,26123.0,0.4526239067,299.0,3,1
Coastal Alabama Community College,AL,1,0.523297491,0.3567,20605.0,34894.0,11000.0,0.5847750865,4798.0,2,0
Faulkner University,AL,2,0.3508500773,0.4562,37626.0,43457.0,23000.0,0.4255952381,1549.0,3,1
George C Wallace State Community College-Hanceville,AL,1,0.6070133011,0.346,19008.0,39842.0,11000.0,0.6529625151,4423.0,1,0
Herzing University-Birmingham,AL,2,0.3902261123,0.6771,27750.0,36909.0,21500.0,0.4517045455,442.0,1,1
Huntingdon College,AL,2,0.5667870036,0.4007,40908.0,49601.0,27000.0,0.6006825939,879.0,3,0
Jacksonville State University,AL,1,0.529972752,0.426,24257.0,45235.0,22189.0,0.575465639,7036.0,3,0
Jefferson State Community College,AL,1,0.6032906764,0.3483,14814.0,40719.0,9689.0,0.621669627,5470.0,2,0
John C Calhoun State Community College,AL,1,0.5598591549,0.3041,13073.0,38192.0,12000.0,0.6049586777,7070.0,1,0
University of West Alabama,AL,1,0.461971831,0.5817,22758.0,44232.0,24944.0,0.5104166667,2974.0,3,0
Marion Military Institute,AL,1,0.5494505495,0.5357,18743.0,59644.0,9250.0,0.6436781609,329.0,2,0
Miles College,AL,2,0.2033898305,0.7194,21154.0,32627.0,31217.0,0.2583333333,1155.0,3,1
University of Mobile,AL,2,0.4974226804,0.2565,41115.0,43611.0,26500.0,0.5628140704,1307.0,3,0
University of Montevallo,AL,1,0.5515873016,0.3238,27398.0,42957.0,24000.0,0.6257309942,2151.0,3,0
Northwest Shoals Community College,AL,1,0.4646017699,0.2669,11340.0,33828.0,10000.0,0.5535714286,1969.0,1,0
University of North Alabama,AL,1,0.6334371755,0.2435,23786.0,45415.0,22077.0,0.6903096903,5811.0,3,0
Northeast Alabama Community College,AL,1,0.5611814346,0.3418,11620.0,34913.0,6100.0,0.5882352941,1629.0,1,0
Oakwood University,AL,2,0.3544303797,0.4437,40176.0,42488.0,27000.0,0.4601226994,1153.0,3,1
Samford University,AL,2,0.79,0.1109,57456.0,58469.0,19500.0,0.8342749529,4206.0,3,0
Snead State Community College,AL,1,0.5740740741,0.3094,11220.0,35735.0,9000.0,0.5423728814,1427.0,1,0
University of South Alabama,AL,1,0.5811163276,0.3796,25476.0,49379.0,24929.0,0.6317122594,8879.0,3,0
Spring Hill College,AL,2,0.7391304348,0.3161,39936.0,51500.0,27000.0,0.814516129,782.0,3,0
Stillman College,AL,2,0.2293577982,0.763,26107.0,35421.0,29067.0,0.3584070796,706.0,3,1
Troy University,AL,1,0.484821024,0.4282,23165.0,42062.0,25000.0,0.5638020833,9805.0,3,0
Tuskegee University,AL,2,0.5399061033,0.5767,43454.0,49641.0,27000.0,0.6222707424,2630.0,3,0
United States Sports University,AL,2,0.380952381,0.4462,32606.0,55257.0,,0.4651162791,228.0,3,1
University of Alaska Anchorage,AK,1,0.7462797619,0.1846,24096.0,51871.0,20210.0,0.7915774447,7212.0,3,0
University of Alaska Fairbanks,AK,1,0.679417122,0.2243,22407.0,48866.0,20291.0,0.7436823105,4207.0,3,0
University of Alaska Southeast,AK,1,0.6804123711,0.143,21043.0,48475.0,19111.0,0.730964467,907.0,1,0
Alaska Pacific University,AK,2,0.6326530612,0.3204,34026.0,54271.0,23500.0,0.6868686869,457.0,1,0
Alaska Vocational Technical Center,AK,1,0.6419753086,0.0327,,51083.0,,0.6875,107.0,1,0
Charter College,AK,3,0.3237616655,0.574,41344.0,35504.0,14176.0,0.3867857143,2157.0,1,1
Alaska Career College,AK,3,0.5163551402,0.4044,,34468.0,7377.0,0.5057208238,250.0,1,0
Empire Beauty School-Tucson,AZ,3,0.2907216495,0.5043,,25073.0,13000.0,0.3367556468,203.0,1,1
Carrington College-Phoenix North,AZ,3,0.343937575,0.5616,,36718.0,9500.0,0.3799464445,1080.0,1,1
Carrington College-Mesa,AZ,3,0.343937575,0.5166,,36718.0,9500.0,0.3799464445,528.0,1,1
Carrington College-Tucson,AZ,3,0.343937575,0.6547,,36718.0,9500.0,0.3799464445,517.0,1,1
Miller-Motte College-Arizona Automotive Institute,AZ,3,0.3793103448,0.7333,,31102.0,15917.0,0.3974763407,689.0,1,1
Brookline College-Phoenix,AZ,3,0.2038793103,0.3587,,29576.0,9500.0,0.2604078165,712.0,1,1
Arizona State University Campus Immersion,AZ,1,0.659742065,0.2899,30111.0,62668.0,19500.0,0.7006873106,64674.0,3,0
Arizona Western College,AZ,1,0.6282051282,0.4072,15868.0,36857.0,4826.0,0.6588235294,6374.0,1,0
University of Arizona,AZ,1,0.7412694926,0.257,29423.0,59979.0,19620.0,0.7751378871,42537.0,3,0
Central Arizona College,AZ,1,0.4655870445,0.2957,10720.0,40513.0,10010.0,0.5589353612,4912.0,1,0
Cochise County Community College District,AZ,1,0.4237288136,0.3815,14342.0,38033.0,6750.0,0.5079365079,3096.0,2,0
Empire Beauty School-Chandler,AZ,3,0.3591269841,0.619,,23921.0,10667.0,0.3861386139,104.0,1,1
Avalon Institute-Mesa,AZ,3,0.405904059,0.4504,,30803.0,6332.0,0.4221014493,298.0,1,0
Embry-Riddle Aeronautical University-Prescott,AZ,2,0.7096969697,0.1825,62798.0,84131.0,23666.0,0.7685950413,3218.0,3,0
Grand Canyon University,AZ,3,0.6025874938,0.4594,32702.0,42186.0,22114.0,0.6479820628,73371.0,3,0
GateWay Community College,AZ,1,0.3642611684,0.2754,19314.0,46147.0,6750.0,0.4072847682,4538.0,1,1
Mohave Community College,AZ,1,0.4697286013,0.3607,11837.0,35522.0,9700.0,0.5274949084,3216.0,1,0
Universal Technical Institute-Phoenix,AZ,3,0.4298325723,0.4732,,48341.0,13097.0,0.4732454146,527.0,1,0
Northern Arizona University,AZ,1,0.6372146119,0.3126,29933.0,54384.0,19000.0,0.6863436123,22903.0,3,0
Phoenix College,AZ,1,0.425,0.2724,18594.0,40870.0,6750.0,0.511627907,8555.0,1,0
Pima Community College,AZ,1,0.475780409,0.3451,9851.0,39810.0,7000.0,0.5259481038,14242.0,1,0
Pima Medical Institute-Tucson,AZ,3,0.4734714004,0.4981,,38673.0,9500.0,0.5043520309,2567.0,2,0
Prescott College,AZ,2,0.5227272727,0.4163,48532.0,42359.0,16300.0,0.6176470588,219.0,3,0
Refrigeration School Inc,AZ,3,0.3881481481,0.6186,,52953.0,8233.0,0.4317841079,1346.0,1,1
Rio Salado College,AZ,1,0.2272727273,0.0682,13425.0,41015.0,9500.0,0.3181818182,11668.0,1,1
Arizona Christian University,AZ,2,0.7051282051,0.3388,54792.0,51612.0,23000.0,0.7692307692,1165.0,3,0
Universal Technical Institute of Arizona Inc,AZ,3,0.532804989,0.4889,,52873.0,13124.0,0.5674731531,1957.0,2,0
Yavapai College,AZ,1,0.5,0.2097,14988.0,39890.0,9000.0,0.5866666667,3988.0,1,0
University of Arkansas at Little Rock,AR,1,0.7363636364,0.4118,22519.0,45265.0,22000.0,0.7130497477,4949.0,3,0
University of Arkansas for Medical Sciences,AR,1,0.8372093023,0.2775,,73827.0,14000.0,0.8455598456,1571.0,3,0
Arkansas Baptist College,AR,2,0.5769230769,0.7936,23060.0,28418.0,25375.0,0.4814814815,342.0,3,0
Arkansas Beauty School-Little Rock,AR,3,0.4782608696,0.5141,,18078.0,6333.0,,106.0,1,0
Lyon College,AR,2,0.7652173913,0.4061,44978.0,44232.0,21500.0,0.7478991597,648.0,3,0
Arkansas Technical School,AR,3,0.4545454545,0.6833,,16209.0,16500.0,,123.0,1,0
University of Arkansas,AR,1,0.747778248,0.1779,27767.0,58191.0,21500.0,0.7701102491,28677.0,3,0
University of Arkansas at Pine Bluff,AR,1,0.5220588235,0.695,21129.0,35550.0,24202.0,0.5534482759,1807.0,3,0
Arkansas State University-Beebe,AR,1,0.6624472574,0.3505,18771.0,36603.0,8093.0,0.6218487395,1986.0,2,0
Arkansas State University,AR,1,0.7254348848,0.3838,25082.0,42617.0,20500.0,0.7110711071,9110.0,3,0
Arkansas Tech University,AR,1,0.7391304348,0.3389,22808.0,41766.0,21000.0,0.7142857143,5388.0,2,0
University of Arkansas at Monticello,AR,1,0.7384196185,0.5038,22519.0,36902.0,19971.0,0.6973684211,1933.0,1,0
Arthur's Beauty College,AR,3,0.5315315315,0.6935,,21954.0,9833.0,0.5575221239,29.0,1,0
Baptist Health College Little Rock,AR,2,0.7511848341,0.4551,31961.0,62244.0,10000.0,0.7505617978,569.0,2,0
Black River Technical College,AR,1,0.6209677419,0.3731,14374.0,34818.0,9500.0,0.609375,903.0,1,0
University of Central Arkansas,AR,1,0.7503782148,0.3798,25029.0,45938.0,20346.0,0.7536764706,7762.0,3,0
Central Baptist College,AR,2,0.7333333333,0.3982,30605.0,46789.0,22250.0,0.7704918033,484.0,3,0
Crowley's Ridge College,AR,2,0.5517241379,0.4178,27340.0,39533.0,26228.0,0.5714285714,165.0,3,0
East Arkansas Community College,AR,1,0.4,0.252,13240.0,28471.0,6000.0,0.3666666667,554.0,1,1
Paul Mitchell the School-Little Rock,AR,3,0.5519713262,0.6135,,24765.0,10725.0,0.5266903915,360.0,1,0
National Park College,AR,1,0.6027874564,0.4801,19331.0,32444.0,10500.0,0.5359477124,1789.0,1,0
University of Arkansas Community College-Batesville,AR,1,0.6540540541,0.4696,15808.0,33706.0,10250.0,0.5846153846,751.0,1,0
Harding University,AR,2,0.762195122,0.2381,39534.0,52876.0,26500.0,0.8066825776,3382.0,3,0
Henderson State University,AR,1,0.8170731707,0.4622,27385.0,43459.0,19500.0,0.7623188406,1456.0,3,0
Hendrix College,AR,2,0.8333333333,0.2319,55013.0,60376.0,26688.0,0.8370786517,1100.0,3,0
John Brown University,AR,2,0.8361111111,0.237,44710.0,53907.0,21250.0,0.8238482385,1471.0,3,0
Career Academy of Hair Design,AR,3,0.46875,0.6913,,21567.0,6365.0,0.4782608696,245.0,1,0
Academy of Salon and Spa,AR,3,0.5797101449,0.6638,,16941.0,4833.0,,52.0,1,0
North Arkansas College,AR,1,0.5416666667,0.3591,16846.0,34653.0,9000.0,0.5331010453,1202.0,1,0
Ouachita Baptist University,AR,2,0.7264957265,0.2341,47321.0,51673.0,21050.0,0.7708333333,1602.0,3,0
Arkansas State University Three Rivers,AR,1,0.5172413793,0.1415,14579.0,37374.0,10250.0,0.5403225806,550.0,1,0
Ozarka College,AR,1,0.4130434783,0.4186,12069.0,29314.0,9818.0,0.4301075269,575.0,1,0
University of the Ozarks,AR,2,0.756097561,0.3984,38666.0,44384.0,20875.0,0.7471264368,767.0,3,0
University of Arkansas Community College-Morrilton,AR,1,0.6255707763,0.3919,15362.0,34924.0,10315.0,0.5751072961,1447.0,1,0
Philander Smith University,AR,2,0.4820143885,0.6781,28136.0,38427.0,24736.0,0.4863013699,751.0,3,0
University of Aesthetics & Cosmetology,AR,3,0.59375,0.74,,26754.0,9833.0,,42.0,1,0
University of Arkansas-Pulaski Technical College,AR,1,0.6145038168,0.5562,20811.0,34722.0,12080.0,0.5414767548,4118.0,1,0
University of Arkansas Hope-Texarkana,AR,1,0.4615384615,0.3416,16307.0,34162.0,,0.3928571429,583.0,1,0
Paul Mitchell the School-Arkansas,AR,3,0.6585365854,0.4936,,20077.0,9833.0,0.743902439,99.0,1,0
Searcy Beauty College,AR,3,0.5,0.7386,,19896.0,12429.0,,54.0,1,0
Williams Baptist University,AR,2,0.552238806,0.5438,33597.0,38484.0,21820.0,0.5857142857,478.0,3,0
South Arkansas College,AR,1,0.6160714286,0.4109,12932.0,34521.0,11153.0,0.5775862069,862.0,1,0
Southern Arkansas University Main Campus,AR,1,0.6908665105,0.482,24951.0,42386.0,18750.0,0.6818181818,2708.0,3,0
Southern Arkansas University Tech,AR,1,0.5564516129,0.4207,17294.0,36376.0,6000.0,0.512195122,672.0,1,0
University of Arkansas-Fort Smith,AR,1,0.6550868486,0.391,19048.0,41102.0,18250.0,0.6763285024,4091.0,2,0
Academy of Art University,CA,3,0.496373892,0.4104,48036.0,39008.0,31000.0,0.5558213716,3587.0,3,0
American Academy of Dramatic Arts-Los Angeles,CA,2,0.4094488189,0.284,55682.0,27019.0,12000.0,0.4523809524,112.0,2,0
American Beauty College,CA,3,0.6964285714,0.6853,,22481.0,5430.0,0.7090909091,334.0,1,0
American Career College-Los Angeles,CA,3,0.3306325144,0.6254,,38430.0,9500.0,0.3826374745,2168.0,1,1
American River College,CA,1,0.375,0.2109,16384.0,40162.0,9625.0,0.4672897196,25621.0,2,1
Antelope Valley Community College District,CA,1,0.3682539683,0.4186,12931.0,36526.0,12500.0,0.4375,11534.0,2,1
Art Center College of Design,CA,2,0.6469298246,0.216,75649.0,71958.0,31000.0,0.7412280702,2017.0,3,0
Associated Technical College-Los Angeles,CA,3,0.3902439024,1.0,,24368.0,9500.0,0.2951807229,315.0,1,1
Azusa Pacific University,CA,2,0.6194029851,0.3515,56313.0,66677.0,23219.0,0.6573426573,2759.0,3,0
Bakersfield College,CA,1,0.7179487179,0.304,22018.0,37291.0,8312.0,0.75,17280.0,2,0
Biola University,CA,2,0.7844129555,0.2604,62757.0,56778.0,23875.0,0.8168604651,3474.0,3,0
Brownson Technical School,CA,3,0.5952380952,0.7261,,68767.0,9500.0,0.6367924528,307.0,1,0
Bryan University,AZ,3,0.2983050847,0.7459,26732.0,40283.0,20000.0,0.3678929766,2506.0,1,1
Butte College,CA,1,0.5903614458,0.3475,15509.0,41810.0,10500.0,0.6382113821,8890.0,1,0
California Institute of Integral Studies,CA,2,0.42,0.4561,,48848.0,18750.0,0.4615384615,38.0,3,0
Cabrillo College,CA,1,0.649122807,0.2441,24966.0,44114.0,14380.0,0.6842105263,8002.0,2,0
California Baptist University,CA,2,0.590443686,0.4206,54038.0,61504.0,26063.0,0.6633663366,8179.0,3,0
California College of the Arts,CA,2,0.6862170088,0.2509,79776.0,49414.0,27000.0,0.7046783626,990.0,3,0
California Lutheran University,CA,2,0.712,0.3109,68426.0,68712.0,21669.0,0.7685185185,2296.0,3,0
California Polytechnic State University-San Luis Obispo,CA,1,0.8833333333,0.1924,32265.0,90768.0,18500.0,0.9149090909,21996.0,3,0
Alliant International University-San Diego,CA,3,0.4651162791,0.0169,,66666.0,12878.0,0.4509803922,391.0,1,0
California State University-Bakersfield,CA,1,0.5833333333,0.6065,19522.0,59009.0,16600.0,0.6259414226,8577.0,3,0
California State University-Stanislaus,CA,1,0.658872077,0.5519,19739.0,63188.0,13540.0,0.7088274045,8385.0,3,0
California State University-San Bernardino,CA,1,0.5319521447,0.5762,17427.0,59977.0,14715.0,0.5835654596,15023.0,3,0
California State Polytechnic University-Pomona,CA,1,0.7717923604,0.4633,23955.0,71902.0,16000.0,0.8168567807,25042.0,3,0
California State University-Chico,CA,1,0.7230202578,0.4252,26283.0,64172.0,16552.0,0.780758226,13631.0,3,0
California State University-Dominguez Hills,CA,1,0.5229405631,0.6333,23191.0,57162.0,13807.0,0.5730788548,12538.0,3,0
California State University-Fresno,CA,1,0.6553205552,0.5697,20095.0,61244.0,14505.0,0.7159090909,21605.0,3,0
California State University-Fullerton,CA,1,0.7173061864,0.4807,18269.0,62951.0,13750.0,0.766270515,38546.0,3,0
California State University-East Bay,CA,1,0.6594963274,0.444,22850.0,71401.0,16544.0,0.7257900102,9809.0,3,0
California State University-Long Beach,CA,1,0.7313270486,0.5018,22679.0,64403.0,14289.0,0.7737405652,35924.0,3,0
California State University-Los Angeles,CA,1,0.6214087118,0.663,18403.0,59211.0,13000.0,0.6720142602,19562.0,3,0
California State University-Northridge,CA,1,0.656920078,0.5607,20485.0,59115.0,13872.0,0.7080088988,32691.0,3,0
California State University-Sacramento,CA,1,0.6847119965,0.4913,22945.0,64876.0,15000.0,0.749219563,28350.0,3,0
University of California-Berkeley,CA,1,0.8229773463,0.2864,45619.0,92446.0,13000.0,0.8493539237,33068.0,3,0
University of California-Davis,CA,1,0.8423188406,0.3135,41238.0,80838.0,13000.0,0.8821130677,32253.0,3,0
University of California-Irvine,CA,1,0.8136834133,0.361,38632.0,80735.0,15000.0,0.8266571292,30197.0,3,0
University of California-Los Angeles,CA,1,0.8077140169,0.2824,38614.0,82511.0,14000.0,0.8316498316,33475.0,3,0
University of California-Riverside,CA,1,0.6964595197,0.4695,38942.0,67699.0,17500.0,0.7271431964,22593.0,3,0
University of California-San Diego,CA,1,0.8423169751,0.342,38701.0,84943.0,15500.0,0.8638862559,34948.0,3,0
University of California-Santa Barbara,CA,1,0.7534136546,0.2785,41573.0,74915.0,13993.0,0.7925300588,23113.0,3,0
University of California-Santa Cruz,CA,1,0.7487922705,0.3157,41179.0,68396.0,16666.0,0.792998055,17940.0,3,0
California Hair Design Academy,CA,3,0.4926829268,0.4773,,19347.0,6333.0,0.5339805825,98.0,1,0
California Institute of the Arts,CA,2,0.6478873239,0.2424,77560.0,41198.0,25000.0,0.6794425087,860.0,3,0
California State University Maritime Academy,CA,1,0.9197860963,0.251,29853.0,94784.0,24965.0,0.9361702128,804.0,3,0
College of the Canyons,CA,1,0.5602836879,0.1848,11360.0,49022.0,9612.0,0.6164383562,15832.0,2,0
Career Academy of Beauty,CA,3,0.5769230769,0.5494,,24410.0,6333.0,0.6141304348,219.0,1,0
Casa Loma College-Los Angeles,CA,2,0.3421985816,0.4916,,49854.0,26791.0,0.4211438475,758.0,2,1
CET-San Diego,CA,2,0.3215946844,0.3381,,32986.0,7041.0,0.3443380654,223.0,1,1
CET-San Jose,CA,2,0.3215946844,0.5254,,32986.0,7041.0,0.3443380654,266.0,1,1
CET-El Centro,CA,2,0.3215946844,0.3086,,32986.0,7041.0,0.3443380654,130.0,1,1
CET-Colton,CA,2,0.3215946844,0.5882,,32986.0,7041.0,0.3443380654,162.0,1,1
CET-Watsonville,CA,2,0.3215946844,0.3651,,32986.0,7041.0,0.3443380654,142.0,1,1
CET-Salinas,CA,2,0.3215946844,0.4118,,32986.0,7041.0,0.3443380654,171.0,1,1
Cerritos College,CA,1,0.7093023256,0.3629,10236.0,41156.0,8447.0,0.7528089888,18870.0,1,0
Chabot College,CA,1,0.5208333333,0.2102,17456.0,48143.0,9500.0,0.6170212766,11392.0,2,0
Chapman University,CA,2,0.7318070319,0.1939,83146.0,70070.0,20500.0,0.766192733,7478.0,3,0
Charles R Drew University of Medicine and Science,CA,2,0.511627907,0.5359,39834.0,83438.0,18750.0,0.6,282.0,3,0
Concordia University-Irvine,CA,2,0.7834224599,0.2423,58682.0,65083.0,24247.0,0.810880829,1536.0,3,0
San Diego Christian College,CA,2,0.5424836601,0.45,31745.0,49766.0,24941.0,0.5962732919,87.0,3,0
Citrus College,CA,1,0.2857142857,0.2988,13699.0,42065.0,7851.0,0.3653846154,8286.0,1,1
City College of San Francisco,CA,1,0.5310734463,0.167,16870.0,45805.0,8218.0,0.6335078534,17348.0,1,0
Milan Institute-Visalia,CA,3,0.3366778149,0.7369,,32493.0,8124.0,0.3568281938,635.0,1,1
Coastline Community College,CA,1,0.6,0.092,24290.0,44483.0,8250.0,0.6111111111,7393.0,2,0
University of Silicon Valley,CA,3,0.5,0.4974,35722.0,51017.0,31000.0,0.5714285714,455.0,3,0
California College of ASU,CA,2,0.3394495413,0.4631,31890.0,42014.0,25000.0,0.4285714286,71.0,3,1
Contra Costa College,CA,1,0.5217391304,0.2445,18422.0,40850.0,,0.5416666667,5203.0,2,0
Cosumnes River College,CA,1,0.4473684211,0.2615,14202.0,42446.0,10722.0,0.5217391304,14023.0,2,0
Cuesta College,CA,1,0.6860465116,0.1761,20192.0,46047.0,13750.0,0.7191011236,7180.0,1,0
Cypress College,CA,1,0.5833333333,0.3124,14290.0,43533.0,10000.0,0.6178861789,13354.0,1,0
International School of Beauty Inc,CA,3,0.4642857143,0.5627,,19799.0,7083.0,0.4473684211,132.0,1,0
College of the Desert,CA,1,0.6086956522,0.3789,24607.0,39020.0,,0.568627451,10207.0,1,0
Dominican University of California,CA,2,0.7252525253,0.319,71751.0,84713.0,27000.0,0.8181818182,1114.0,3,0
East Los Angeles College,CA,1,0.4264705882,0.2392,19193.0,42006.0,10500.0,0.5333333333,27753.0,2,0
El Camino Community College District,CA,1,0.2727272727,0.2725,15246.0,41589.0,,0.3116883117,19210.0,2,1
Evergreen Valley College,CA,1,0.6428571429,0.2244,22105.0,53077.0,13219.0,,7688.0,2,0
FIDM-Fashion Institute of Design & Merchandising,CA,3,0.65278334,0.1898,54318.0,49840.0,13734.0,0.7114485981,535.0,2,0
Feather River Community College District,CA,1,0.5,0.1644,20385.0,38142.0,10750.0,0.5135135135,1828.0,2,0
Federico Beauty Institute,CA,3,0.5384615385,0.4987,,29856.0,6333.0,0.5659722222,220.0,1,0
Foothill College,CA,1,0.8596491228,0.0871,16361.0,57072.0,10500.0,0.9130434783,11137.0,1,0
Fresno City College,CA,1,0.5778688525,0.307,17198.0,37361.0,4058.0,0.6274509804,21251.0,2,0
Fresno Pacific University,CA,2,0.5533230294,0.5835,44249.0,58896.0,23146.0,0.6297420334,1544.0,3,0
Fullerton College,CA,1,0.5,0.2655,14369.0,43366.0,4500.0,0.6071428571,17121.0,2,0
Gavilan College,CA,1,0.4047619048,0.2352,15161.0,47169.0,,0.5543478261,4786.0,2,0
Glendale Career College,CA,3,0.4046997389,0.5097,,41472.0,9500.0,0.4677002584,896.0,1,0
Golden Gate University,CA,2,0.5714285714,0.3565,,87434.0,29875.0,0.6538461538,259.0,3,0
Golden West College,CA,1,0.5949367089,0.2344,14618.0,43145.0,7179.0,0.6279069767,9034.0,2,0
Grossmont College,CA,1,0.5555555556,0.2448,14027.0,40309.0,8625.0,0.6354166667,12163.0,2,0
California State Polytechnic University-Humboldt,CA,1,0.6255259467,0.4287,25170.0,47626.0,18000.0,0.6840301576,5612.0,3,0
Humphreys University-Stockton and Modesto Campuses,CA,2,0.3,0.5246,20918.0,39248.0,35500.0,0.4256410256,149.0,3,1
Institute for Business and Technology,CA,3,0.3652849741,0.4416,,38015.0,7853.0,0.4041450777,765.0,1,1
Interior Designers Institute,CA,3,0.515625,0.2804,,54974.0,22082.0,,97.0,2,0
American Jewish University,CA,2,0.5172413793,0.1026,,61954.0,,,60.0,1,0
Reedley College,CA,1,0.4358974359,0.268,16881.0,38493.0,2819.0,0.4810126582,5504.0,1,0
Life Pacific University,CA,2,0.6162790698,0.5379,35062.0,43299.0,22395.0,0.6086956522,456.0,3,0
University of La Verne,CA,2,0.5436241611,0.514,62278.0,65464.0,23500.0,0.6240506329,3050.0,3,0
Laguna College of Art and Design,CA,2,0.6078431373,0.299,57989.0,47867.0,27000.0,0.68,746.0,3,0
La Sierra University,CA,2,0.572327044,0.4725,51459.0,61824.0,27000.0,0.612244898,1116.0,3,0
Loma Linda University,CA,2,0.7874251497,0.3504,,89816.0,20854.0,0.8560830861,909.0,3,0
Long Beach City College,CA,1,0.3802816901,0.3737,14503.0,38870.0,10500.0,0.4545454545,22427.0,1,1
Los Angeles Harbor College,CA,1,0.4285714286,0.1976,21772.0,41133.0,,0.5172413793,6694.0,2,0
Los Angeles Pierce College,CA,1,0.4117647059,0.2823,21400.0,44521.0,12936.0,0.4947368421,13436.0,2,0
Los Angeles Trade Technical College,CA,1,0.3534482759,0.3193,20457.0,35233.0,10500.0,0.4491525424,9998.0,1,1
Los Angeles Valley College,CA,1,0.5368421053,0.256,20546.0,42678.0,10500.0,0.5660377358,12601.0,2,0
The Master's University and Seminary,CA,2,0.7959183673,0.2124,54845.0,57106.0,20500.0,0.8269230769,1622.0,3,0
Los Angeles City College,CA,1,0.4683544304,0.2624,18924.0,36190.0,12750.0,0.5747126437,11198.0,2,0
Loyola Marymount University,CA,2,0.7782041443,0.1322,83943.0,78349.0,19500.0,0.8088560886,7094.0,3,0
Lu Ross Academy,CA,3,0.4979591837,0.4956,,23148.0,6333.0,0.5120967742,229.0,1,0
Lytles Redwood Empire Beauty College,CA,3,0.7008547009,0.4734,,20358.0,8682.0,0.75,86.0,1,0
MTI College,CA,3,0.4806378132,0.4745,,45328.0,8836.0,0.5407239819,2000.0,1,0
College of Marin,CA,1,0.3859649123,0.165,21015.0,42654.0,10062.0,0.4912280702,4042.0,2,1
Mendocino College,CA,1,0.3823529412,0.2793,17544.0,40243.0,10836.0,0.4864864865,2870.0,2,1
Menlo College,CA,2,0.7328244275,0.3105,72020.0,76419.0,21750.0,0.7894736842,752.0,3,0
Northeastern University Oakland,CA,2,0.8333333333,0.2674,85418.0,92538.0,24250.0,0.8671808055,464.0,3,0
MiraCosta College,CA,1,0.5348837209,0.2738,15531.0,43845.0,9000.0,0.5581395349,10278.0,1,0
Middlebury Institute of International Studies at Monterey,CA,2,0.8601190476,0.4167,,76310.0,13857.0,0.8947368421,4.0,3,0
Moorpark College,CA,1,0.5454545455,0.1822,8015.0,49044.0,9500.0,0.5801526718,12082.0,2,0
Mt San Antonio College,CA,1,0.4743589744,0.3524,15701.0,46283.0,5880.0,0.5688622754,26140.0,2,0
Mount Saint Mary's University,CA,2,0.653478854,0.571,66726.0,72379.0,25949.0,0.720685112,1719.0,3,0
Musicians Institute,CA,3,0.4565217391,0.1987,52369.0,32778.0,,0.4418604651,759.0,1,0
Napa Valley College,CA,1,0.5806451613,0.1728,22572.0,49517.0,10147.0,0.5806451613,3813.0,2,0
National Holistic Institute,CA,3,0.5540540541,0.618,,27978.0,9500.0,0.5863309353,1258.0,1,0
National University,CA,2,0.4958586416,0.2884,33978.0,67548.0,25000.0,0.5781584582,10794.0,3,0
Newschool of Architecture and Design,CA,3,0.4897959184,0.5211,62004.0,68891.0,31000.0,0.5714285714,182.0,3,0
North Adrian's College of Beauty Inc,CA,3,0.2555555556,0.4738,,27269.0,11000.0,0.2802197802,207.0,1,1
North-West College-Pomona,CA,3,0.3628318584,0.6468,,39876.0,9500.0,0.410122164,381.0,1,1
North-West College-West Covina,CA,3,0.4666666667,0.6052,,37542.0,9500.0,0.4904347826,653.0,1,0
North-West College-Van Nuys,CA,3,0.4076433121,0.522,,32488.0,9500.0,0.4528301887,294.0,1,0
Notre Dame de Namur University,CA,2,0.6052631579,0.2857,,74576.0,25000.0,0.6654929577,33.0,3,0
Occidental College,CA,2,0.8629807692,0.1656,84800.0,75951.0,23000.0,0.8942307692,1877.0,3,0
Orange Coast College,CA,1,0.5853658537,0.2438,15561.0,47348.0,9500.0,0.6626506024,16091.0,1,0
